TestNo,MutantNo
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,35
1,36
1,37
1,43
1,44
1,45
1,77
1,78
1,79
1,81
1,82
1,83
1,84
1,85
1,86
1,87
1,88
1,89
1,90
1,91
1,92
1,93
1,94
1,95
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,19
2,20
2,21
2,27
2,28
2,29
2,30
2,31
2,32
2,33
2,34
2,35
2,36
2,37
2,43
2,44
2,45
2,77
2,78
2,79
2,81
2,82
2,83
2,91
2,92
2,93
2,94
2,96
2,97
2,98
2,99
2,100
2,101
2,102
2,103
2,104
2,105
2,106
2,107
2,108
2,109
2,111
2,112
2,113
2,121
2,122
2,123
2,124
3,1
3,2
3,3
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,17
3,19
3,20
3,21
3,27
3,28
3,29
3,35
3,36
3,37
3,43
3,44
3,45
3,46
3,47
3,48
3,49
3,50
3,51
3,52
3,53
3,54
3,55
3,56
3,57
3,58
3,59
3,60
3,61
3,62
3,63
3,64
3,65
3,66
3,67
3,68
3,69
3,70
3,71
3,72
3,73
3,74
3,76
4,1
4,2
4,3
4,4
4,5
4,6
4,7
4,8
4,9
4,10
4,11
4,12
4,13
4,14
4,15
4,16
4,17
4,18
5,1
5,2
5,3
5,4
5,5
5,6
5,7
5,8
5,9
5,10
5,11
5,12
5,13
5,14
5,15
5,16
5,17
5,19
5,20
5,21
5,27
5,28
5,29
5,30
5,31
5,32
5,33
5,34
5,35
5,36
5,37
5,43
5,44
5,45
5,77
5,78
5,79
5,81
5,82
5,83
5,91
5,92
5,93
5,94
5,96
5,97
5,98
5,99
5,100
5,101
5,102
5,103
5,104
5,105
5,106
5,107
5,108
5,109
5,110
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,14
6,15
6,16
6,17
6,19
6,20
6,21
6,27
6,28
6,29
6,35
6,36
6,37
6,43
6,44
6,45
6,46
6,47
6,48
6,49
6,50
6,51
6,52
6,60
6,61
6,62
6,63
6,71
6,72
6,73
6,74
6,75
7,1
7,2
7,3
7,4
7,5
7,6
7,7
7,8
7,9
7,10
7,11
7,12
7,13
7,14
7,15
7,16
7,17
7,19
7,20
7,21
7,22
7,23
7,24
7,25
7,26
7,27
7,28
7,29
7,30
7,31
7,32
7,33
7,34
7,35
7,36
7,37
7,38
7,39
7,40
7,41
7,42
7,43
7,44
7,45
7,77
7,78
7,79
7,80
8,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,19
8,20
8,21
8,27
8,28
8,29
8,35
8,36
8,37
8,43
8,44
8,45
8,46
8,47
8,48
8,49
8,50
8,51
8,52
8,53
8,54
8,55
8,56
8,57
8,58
8,59
8,60
8,61
8,62
8,63
8,71
8,72
8,73
8,74
8,75
9,1
9,2
9,3
9,4
9,5
9,6
9,7
9,8
9,9
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,19
9,20
9,21
9,27
9,28
9,29
9,35
9,36
9,37
9,43
9,44
9,45
9,46
9,47
9,48
9,49
9,50
9,51
9,52
9,60
9,61
9,62
9,63
9,71
9,72
9,73
9,74
9,75
10,1
10,2
10,3
10,4
10,5
10,6
10,7
10,8
10,9
10,10
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,19
10,20
10,21
10,27
10,28
10,29
10,35
10,36
10,37
10,43
10,44
10,45
10,46
10,47
10,48
10,49
10,50
10,51
10,52
10,53
10,54
10,55
10,56
10,57
10,58
10,59
10,60
10,61
10,62
10,63
10,64
10,65
10,66
10,67
10,68
10,69
10,70
10,71
10,72
10,73
10,74
10,75
11,1
11,2
11,3
11,4
11,5
11,6
11,7
11,8
11,9
11,10
11,14
11,15
11,16
11,17
11,18
12,1
12,2
12,3
12,7
12,8
12,9
12,10
12,14
12,15
12,16
12,17
12,18
13,1
13,2
13,3
13,4
13,5
13,6
13,7
13,8
13,9
13,10
13,11
13,12
13,13
13,14
13,15
13,16
13,17
13,18
14,1
14,2
14,3
14,4
14,5
14,6
14,7
14,8
14,9
14,10
14,14
14,15
14,16
14,17
14,18
15,1
15,2
15,3
15,4
15,5
15,6
15,7
15,8
15,9
15,10
15,11
15,12
15,13
15,14
15,15
15,16
15,17
15,19
15,20
15,21
15,27
15,28
15,29
15,30
15,31
15,32
15,33
15,34
15,35
15,36
15,37
15,43
15,44
15,45
15,77
15,78
15,79
15,81
15,82
15,83
15,91
15,92
15,93
15,94
15,96
15,97
15,98
15,99
15,100
15,101
15,102
15,103
15,104
15,105
15,106
15,107
15,108
15,109
15,111
15,112
15,113
15,121
15,122
15,123
15,124
17,1
17,2
17,3
17,7
17,8
17,9
17,10
17,14
17,15
17,16
17,17
17,18
18,1
18,2
18,3
18,4
18,5
18,6
18,7
18,8
18,9
18,10
18,11
18,12
18,13
18,14
18,15
18,16
18,17
18,19
18,20
18,21
18,27
18,28
18,29
18,35
18,36
18,37
18,43
18,44
18,45
18,46
18,47
18,48
18,49
18,50
18,51
18,52
18,53
18,54
18,55
18,56
18,57
18,58
18,59
18,60
18,61
18,62
18,63
18,71
18,72
18,73
18,74
18,75
19,1
19,2
19,3
19,4
19,5
19,6
19,7
19,8
19,9
19,10
19,11
19,12
19,13
19,14
19,15
19,16
19,17
19,19
19,20
19,21
19,22
19,23
19,24
19,25
19,26
19,27
19,28
19,29
19,35
19,36
19,37
19,43
19,44
19,45
19,77
19,78
19,79
19,81
19,82
19,83
19,84
19,85
19,86
19,87
19,88
19,89
19,90
19,91
19,92
19,93
19,94
19,96
19,97
19,98
19,106
19,107
19,108
19,109
19,111
19,112
19,113
19,121
19,122
19,123
19,124
20,1
20,2
20,3
20,4
20,5
20,6
20,7
20,8
20,9
20,10
20,11
20,12
20,13
20,14
20,15
20,16
20,17
20,19
20,20
20,21
20,27
20,28
20,29
20,35
20,36
20,37
20,43
20,44
20,45
20,46
20,47
20,48
20,49
20,50
20,51
20,52
20,53
20,54
20,55
20,56
20,57
20,58
20,59
20,60
20,61
20,62
20,63
20,64
20,65
20,66
20,67
20,68
20,69
20,70
20,71
20,72
20,73
20,74
20,75
21,1
21,2
21,3
21,4
21,5
21,6
21,7
21,8
21,9
21,10
21,11
21,12
21,13
21,14
21,15
21,16
21,17
21,19
21,20
21,21
21,27
21,28
21,29
21,35
21,36
21,37
21,38
21,39
21,40
21,41
21,42
21,43
21,44
21,45
21,77
21,78
21,79
21,81
21,82
21,83
21,91
21,92
21,93
21,94
21,96
21,97
21,98
21,106
21,107
21,108
21,109
21,111
21,112
21,113
21,114
21,115
21,116
21,117
21,118
21,119
21,120
21,121
21,122
21,123
21,124
21,125
22,1
22,2
22,3
22,4
22,5
22,6
22,7
22,8
22,9
22,10
22,11
22,12
22,13
22,14
22,15
22,16
22,17
22,19
22,20
22,21
22,27
22,28
22,29
22,35
22,36
22,37
22,38
22,39
22,40
22,41
22,42
22,43
22,44
22,45
22,77
22,78
22,79
22,81
22,82
22,83
22,91
22,92
22,93
22,94
22,96
22,97
22,98
22,106
22,107
22,108
22,109
22,111
22,112
22,113
22,114
22,115
22,116
22,117
22,118
22,119
22,120
22,121
22,122
22,123
22,124
23,1
23,2
23,3
23,4
23,5
23,6
23,7
23,8
23,9
23,10
23,11
23,12
23,13
23,14
23,15
23,16
23,17
23,19
23,20
23,21
23,22
23,23
23,24
23,25
23,26
23,27
23,28
23,29
23,35
23,36
23,37
23,43
23,44
23,45
23,77
23,78
23,79
23,81
23,82
23,83
23,84
23,85
23,86
23,87
23,88
23,89
23,90
23,91
23,92
23,93
23,94
23,96
23,97
23,98
23,106
23,107
23,108
23,109
23,111
23,112
23,113
23,121
23,122
23,123
23,124
